species,lat,lon,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Gymnosporia_rothiana,15.9129,74.029,22.750000000000057,9.200000000000001,0.5449999809265137,152.0,32.35000000000002,15.550000000000011,16.8,21.850000000000023,22.850000000000023,25.250000000000057,21.55000000000001,5122.3,1753.2,1.1,135.1,4099.7,13.4,175.70000000000002,3423.0
Gymnosporia_rothiana,15.9213,74.0066,22.850000000000023,9.1,0.5429999828338623,152.4,32.35000000000002,15.550000000000011,16.8,21.950000000000045,22.950000000000045,25.350000000000023,21.650000000000034,5230.700000000001,1799.2,1.0,136.0,4209.1,12.4,173.60000000000002,67.0
Gymnosporia_rothiana,15.9265,74.0023,22.650000000000034,9.1,0.5420000076293946,154.5,32.25000000000006,15.450000000000045,16.8,21.750000000000057,22.750000000000057,25.150000000000034,21.450000000000045,5201.0,1790.7,1.0,136.0,4182.8,12.4,173.9,66.8
Gymnosporia_rothiana,15.9366,74.005,22.750000000000057,9.1,0.5440000057220459,153.60000000000002,32.35000000000002,15.550000000000011,16.8,21.850000000000023,22.850000000000023,25.250000000000057,21.55000000000001,5164.400000000001,1779.7,1.0,135.9,4150.7,12.4,173.9,3471.6000000000004
Gymnosporia_rothiana,15.9376,73.9987,23.150000000000034,9.1,0.5489999771118165,150.1,32.55000000000001,15.950000000000045,16.6,22.150000000000034,23.150000000000034,25.55000000000001,21.950000000000045,5163.5,1779.5,1.0,136.1,4154.0,12.200000000000001,171.70000000000002,3472.4
Gymnosporia_rothiana,15.9529,74.0805,23.350000000000023,9.200000000000001,0.5559999942779541,142.9,32.85000000000002,16.250000000000057,16.6,22.250000000000057,23.55000000000001,25.650000000000034,22.05000000000001,4313.8,1458.7,1.3,131.8,3379.7000000000003,14.600000000000001,168.0,2857.7000000000003
Gymnosporia_rothiana,15.9532,74.0059,23.05000000000001,9.1,0.5469999790191651,148.5,32.55000000000001,15.850000000000023,16.7,22.05000000000001,23.150000000000034,25.450000000000045,21.750000000000057,5072.8,1751.1000000000001,1.0,135.8,4071.6000000000004,12.4,173.3,3415.8
Gymnosporia_rothiana,15.9645,73.9962,23.450000000000045,9.1,0.5570000171661377,145.8,32.75000000000006,16.350000000000023,16.400000000000002,22.450000000000045,23.55000000000001,25.750000000000057,22.150000000000034,5009.1,1731.3000000000002,1.0,136.0,4022.6000000000004,12.0,170.0,3377.7000000000003
Gymnosporia_rothiana,15.9727,74.0035,23.350000000000023,9.200000000000001,0.5590000152587891,145.0,32.75000000000006,16.350000000000023,16.400000000000002,22.350000000000023,23.55000000000001,25.750000000000057,22.150000000000034,4963.1,1716.7,1.0,135.8,3979.1000000000004,12.3,171.8,3348.4
Gymnosporia_rothiana,16.3342,73.8769,23.350000000000023,9.600000000000001,0.5360000133514404,162.3,33.450000000000045,15.550000000000011,17.900000000000002,22.350000000000023,23.350000000000023,25.950000000000045,21.950000000000045,5455.8,1998.5,1.0,139.70000000000002,4406.1,9.200000000000001,174.70000000000002,55.2
Gymnosporia_rothiana,16.3722,73.8657,23.950000000000045,9.600000000000001,0.5460000038146973,156.70000000000002,33.85000000000002,16.250000000000057,17.6,23.05000000000001,23.950000000000045,26.450000000000045,22.750000000000057,5495.6,2018.6000000000001,1.0,140.1,4442.900000000001,8.8,171.9,3927.2000000000003
Gymnosporia_rothiana,17.3492,73.74,23.650000000000034,10.100000000000001,0.5420000076293946,159.3,33.55000000000001,14.850000000000023,18.7,23.350000000000023,23.150000000000034,26.05000000000001,21.950000000000045,4417.7,1645.9,0.8,140.3,3528.4,8.1,113.60000000000001,12.700000000000001
Gymnosporia_rothiana,17.3527,73.7715,23.850000000000023,10.200000000000001,0.5400000095367432,158.5,33.85000000000002,15.050000000000011,18.8,23.450000000000045,23.250000000000057,26.150000000000034,22.05000000000001,3743.4,1391.1000000000001,0.8,139.4,2971.7000000000003,7.7,103.5,11.8
Gymnosporia_rothiana,17.4049,73.6758,21.850000000000023,10.0,0.5110000133514404,188.5,32.25000000000006,12.650000000000034,19.6,21.650000000000034,21.05000000000001,24.55000000000001,19.650000000000034,5058.3,1908.6000000000001,0.6000000000000001,143.20000000000002,4112.6,7.300000000000001,115.30000000000001,46.900000000000006
Gymnosporia_rothiana,17.4513,73.7078,22.250000000000057,9.9,0.5230000019073486,174.70000000000002,32.450000000000045,13.450000000000045,19.0,22.05000000000001,21.650000000000034,24.850000000000023,20.350000000000023,4583.5,1729.0,0.6000000000000001,142.8,3715.2000000000003,7.2,110.0,44.400000000000006
Gymnosporia_rothiana,17.7247,73.8106,20.950000000000045,9.9,0.5059999942779542,199.9,31.750000000000057,12.250000000000057,19.5,20.750000000000057,20.150000000000034,23.750000000000057,18.55000000000001,2980.3,1068.6000000000001,0.6000000000000001,135.3,2319.9,8.700000000000001,96.7,53.2
Gymnosporia_rothiana,17.9183,73.665,19.350000000000023,9.9,0.4829999923706055,224.5,30.650000000000034,10.150000000000034,20.5,19.350000000000023,18.55000000000001,22.55000000000001,16.650000000000034,4216.7,1570.8000000000002,0.7000000000000001,141.4,3400.4,8.200000000000001,99.2,60.0
Gymnosporia_rothiana,17.9185,73.6368,19.750000000000057,10.0,0.4820000171661377,224.60000000000002,31.05000000000001,10.350000000000023,20.700000000000003,19.750000000000057,18.850000000000023,22.950000000000045,17.05000000000001,4477.0,1677.4,0.7000000000000001,142.6,3633.8,7.800000000000001,100.30000000000001,56.2
